Bundesland,Date,Cases
Baden-Württemberg,2020-02,19
Baden-Württemberg,2020-03,12444
Baden-Württemberg,2020-04,13570
Baden-Württemberg,2020-05,2260
Baden-Württemberg,2020-06,810
Baden-Württemberg,2020-07,1568
Baden-Württemberg,2020-08,3926
Baden-Württemberg,2020-09,6216
Baden-Württemberg,2020-10,19514
Baden-Württemberg,2020-11,34595
Baden-Württemberg,2020-12,43275
Baden-Württemberg,2021-01,30629
Baden-Württemberg,2021-02,17297
Baden-Württemberg,2021-03,9795
Bayern,2020-02,15
Bayern,2020-03,13477
Bayern,2020-04,19559
Bayern,2020-05,3537
Bayern,2020-06,1124
Bayern,2020-07,2105
Bayern,2020-08,4808
Bayern,2020-09,7886
Bayern,2020-10,23291
Bayern,2020-11,48001
Bayern,2020-12,55298
Bayern,2021-01,40951
Bayern,2021-02,23544
Bayern,2021-03,13690
Berlin,2020-03,2559
Berlin,2020-04,2783
Berlin,2020-05,853
Berlin,2020-06,1216
Berlin,2020-07,932
Berlin,2020-08,1694
Berlin,2020-09,2869
Berlin,2020-10,8518
Berlin,2020-11,13352
Berlin,2020-12,13623
Berlin,2021-01,11663
Berlin,2021-02,6633
Berlin,2021-03,3602
Brandenburg,2020-02,3
Brandenburg,2020-03,1002
Brandenburg,2020-04,1573
Brandenburg,2020-05,281
Brandenburg,2020-06,167
Brandenburg,2020-07,140
Brandenburg,2020-08,283
Brandenburg,2020-09,432
Brandenburg,2020-10,3729
Brandenburg,2020-11,8562
Brandenburg,2020-12,13999
Brandenburg,2021-01,13805
Brandenburg,2021-02,5574
Brandenburg,2021-03,2582
Bremen,2020-03,272
Bremen,2020-04,379
Bremen,2020-05,443
Bremen,2020-06,205
Bremen,2020-07,107
Bremen,2020-08,185
Bremen,2020-09,380
Bremen,2020-10,1157
Bremen,2020-11,1520
Bremen,2020-12,1569
Bremen,2021-01,1179
Bremen,2021-02,1073
Bremen,2021-03,425
Hamburg,2020-02,1
Hamburg,2020-03,1320
Hamburg,2020-04,1355
Hamburg,2020-05,186
Hamburg,2020-06,125
Hamburg,2020-07,196
