,species,island,stage,date_egg,body_mass,sex,penguin_id
0,Adelie,Torgersen,"Adult,2 Eggs",2007-11-11,3750.0,MALE,N1A1
1,Adelie,Torgersen,"Adult,2 Eggs",2007-11-11,3800.0,FEMALE,N1A2
2,Adelie,Torgersen,"Adult,1 Eggs",2007-11-16,3250.0,FEMALE,N2A1
4,Adelie,Torgersen,"Adult,2 Eggs",2007-11-16,3450.0,FEMALE,N3A1
5,Adelie,Torgersen,"Adult,1 Eggs",2007-11-16,3650.0,MALE,N3A2
6,Adelie,Torgersen,"Adult,2 Eggs",2007-11-15,3625.0,FEMALE,N4A1
7,Adelie,Torgersen,"Adult,3 Eggs",2007-11-15,4675.0,MALE,N4A2
12,Adelie,Torgersen,"Adult,3 Eggs",2007-11-15,3200.0,FEMALE,N7A1
13,Adelie,Torgersen,"Adult,2 Eggs",2007-11-15,3800.0,MALE,N7A2
14,Adelie,Torgersen,"Adult,2 Eggs",2007-11-16,4400.0,MALE,N8A1
15,Adelie,Torgersen,"Adult,2 Eggs",2007-11-16,3700.0,FEMALE,N8A2
16,Adelie,Torgersen,"Adult,3 Eggs",2007-11-12,3450.0,FEMALE,N9A1
17,Adelie,Torgersen,"Adult,2 Eggs",2007-11-12,4500.0,MALE,N9A2
18,Adelie,Torgersen,"Adult,2 Eggs",2007-11-16,3325.0,FEMALE,N10A1
19,Adelie,Torgersen,"Adult,2 Eggs",2007-11-16,4200.0,MALE,N10A2
20,Adelie,Biscoe,"Adult,2 Eggs",2007-11-12,3400.0,FEMALE,N11A1
21,Adelie,Biscoe,"Adult,2 Eggs",2007-11-12,3600.0,MALE,N11A2
22,Adelie,Biscoe,"Adult,2 Eggs",2007-11-12,3800.0,FEMALE,N12A1
23,Adelie,Biscoe,"Adult,2 Eggs",2007-11-12,3950.0,MALE,N12A2
24,Adelie,Biscoe,"Adult,2 Eggs",2007-11-10,3800.0,MALE,N13A1
25,Adelie,Biscoe,"Adult,3 Eggs",2007-11-10,3800.0,FEMALE,N13A2
26,Adelie,Biscoe,"Adult,1 Eggs",2007-11-12,3550.0,MALE,N17A1
27,Adelie,Biscoe,"Adult,2 Eggs",2007-11-12,3200.0,FEMALE,N17A2
28,Adelie,Biscoe,"Adult,2 Eggs",2007-11-10,3150.0,FEMALE,N18A1
29,Adelie,Biscoe,"Adult,2 Eggs",2007-11-10,3950.0,MALE,N18A2
30,Adelie,Dream,"Adult,2 Eggs",2007-11-09,3250.0,FEMALE,N21A1
31,Adelie,Dream,"Adult,2 Eggs",2007-11-09,3900.0,MALE,N21A2
32,Adelie,Dream,"Adult,2 Eggs",2007-11-09,3300.0,FEMALE,N22A1
33,Adelie,Dream,"Adult,2 Eggs",2007-11-09,3900.0,MALE,N22A2
34,Adelie,Dream,"Adult,2 Eggs",2007-11-16,3325.0,FEMALE,N23A1
35,Adelie,Dream,"Adult,2 Eggs",2007-11-16,4150.0,MALE,N23A2
36,Adelie,Dream,"Adult,2 Eggs",2007-11-16,3950.0,MALE,N24A1
37,Adelie,Dream,"Adult,2 Eggs",2007-11-16,3550.0,FEMALE,N24A2
38,Adelie,Dream,"Adult,3 Eggs",2007-11-13,3300.0,FEMALE,N25A1
39,Adelie,Dream,"Adult,2 Eggs",2007-11-13,4650.0,MALE,N25A2
40,Adelie,Dream,"Adult,1 Eggs",2007-11-16,3150.0,FEMALE,N26A1
41,Adelie,Dream,"Adult,2 Eggs",2007-11-16,3900.0,MALE,N26A2
42,Adelie,Dream,"Adult,2 Eggs",2007-11-19,3100.0,FEMALE,N27A1
43,Adelie,Dream,"Adult,2 Eggs",2007-11-19,4400.0,MALE,N27A2
44,Adelie,Dream,"Adult,2 Eggs",2007-11-16,3000.0,FEMALE,N28A1
45,Adelie,Dream,"Adult,2 Eggs",2007-11-16,4600.0,MALE,N28A2
46,Adelie,Dream,"Adult,2 Eggs",2007-11-13,3425.0,MALE,N29A1
48,Adelie,Dream,"Adult,2 Eggs",2007-11-13,3450.0,FEMALE,N30A1
49,Adelie,Dream,"Adult,1 Eggs",2007-11-13,4150.0,MALE,N30A2
152,Chinstrap,Dream,"Adult,2 Eggs",2007-11-19,3500.0,FEMALE,N61A1
153,Chinstrap,Dream,"Adult,2 Eggs",2007-11-19,3900.0,MALE,N61A2
154,Chinstrap,Dream,"Adult,2 Eggs",2007-11-26,3650.0,MALE,N62A1
155,Chinstrap,Dream,"Adult,2 Eggs",2007-11-26,3525.0,FEMALE,N62A2
156,Chinstrap,Dream,"Adult,3 Eggs",2007-11-21,3725.0,MALE,N64A1
157,Chinstrap,Dream,"Adult,2 Eggs",2007-11-21,3950.0,FEMALE,N64A2
158,Chinstrap,Dream,"Adult,2 Eggs",2007-11-28,3250.0,FEMALE,N66A1
159,Chinstrap,Dream,"Adult,2 Eggs",2007-11-28,3750.0,MALE,N66A2
160,Chinstrap,Dream,"Adult,1 Eggs",2007-11-21,4150.0,FEMALE,N67A1
161,Chinstrap,Dream,"Adult,2 Eggs",2007-11-21,3700.0,MALE,N67A2
162,Chinstrap,Dream,"Adult,1 Eggs",2007-11-28,3800.0,FEMALE,N68A1
163,Chinstrap,Dream,"Adult,1 Eggs",2007-11-28,3775.0,MALE,N68A2
164,Chinstrap,Dream,"Adult,2 Eggs",2007-11-26,3700.0,FEMALE,N69A1
165,Chinstrap,Dream,"Adult,2 Eggs",2007-11-26,4050.0,MALE,N69A2
166,Chinstrap,Dream,"Adult,3 Eggs",2007-11-22,3575.0,FEMALE,N70A1
167,Chinstrap,Dream,"Adult,2 Eggs",2007-11-22,4050.0,MALE,N70A2
168,Chinstrap,Dream,"Adult,2 Eggs",2007-11-30,3300.0,MALE,N71A1
169,Chinstrap,Dream,"Adult,2 Eggs",2007-11-30,3700.0,FEMALE,N71A2
170,Chinstrap,Dream,"Adult,2 Eggs",2007-11-30,3450.0,FEMALE,N72A1
171,Chinstrap,Dream,"Adult,2 Eggs",2007-11-30,4400.0,MALE,N72A2
172,Chinstrap,Dream,"Adult,2 Eggs",2007-12-03,3600.0,FEMALE,N73A1
173,Chinstrap,Dream,"Adult,2 Eggs",2007-12-03,3400.0,MALE,N73A2
174,Chinstrap,Dream,"Adult,2 Eggs",2007-11-28,2900.0,FEMALE,N85A1
175,Chinstrap,Dream,"Adult,1 Eggs",2007-11-28,3800.0,MALE,N85A2
176,Chinstrap,Dream,"Adult,1 Eggs",2007-11-28,3300.0,FEMALE,N89A1
177,Chinstrap,Dream,"Adult,2 Eggs",2007-11-28,4150.0,MALE,N89A2
220,Gentoo,Biscoe,"Adult,1 Eggs",2007-11-27,4500.0,FEMALE,N31A1
221,Gentoo,Biscoe,"Adult,2 Eggs",2007-11-27,5700.0,MALE,N31A2
222,Gentoo,Biscoe,"Adult,1 Eggs",2007-11-27,4450.0,FEMALE,N32A1
223,Gentoo,Biscoe,"Adult,3 Eggs",2007-11-27,5700.0,MALE,N32A2
224,Gentoo,Biscoe,"Adult,1 Eggs",2007-11-18,5400.0,MALE,N33A1
225,Gentoo,Biscoe,"Adult,2 Eggs",2007-11-18,4550.0,FEMALE,N33A2
226,Gentoo,Biscoe,"Adult,3 Eggs",2007-11-27,4800.0,FEMALE,N34A1
227,Gentoo,Biscoe,"Adult,2 Eggs",2007-11-27,5200.0,MALE,N34A2
228,Gentoo,Biscoe,"Adult,2 Eggs",2007-11-27,4400.0,FEMALE,N35A1
229,Gentoo,Biscoe,"Adult,1 Eggs",2007-11-27,5150.0,MALE,N35A2
230,Gentoo,Biscoe,"Adult,2 Eggs",2007-11-27,4650.0,FEMALE,N36A1
231,Gentoo,Biscoe,"Adult,2 Eggs",2007-11-27,5550.0,MALE,N36A2
232,Gentoo,Biscoe,"Adult,2 Eggs",2007-11-29,4650.0,FEMALE,N37A1
233,Gentoo,Biscoe,"Adult,2 Eggs",2007-11-29,5850.0,MALE,N37A2
234,Gentoo,Biscoe,"Adult,2 Eggs",2007-12-03,4200.0,FEMALE,N38A1
235,Gentoo,Biscoe,"Adult,1 Eggs",2007-12-03,5850.0,MALE,N38A2
236,Gentoo,Biscoe,"Adult,2 Eggs",2007-11-27,4150.0,FEMALE,N39A1
237,Gentoo,Biscoe,"Adult,2 Eggs",2007-11-27,6300.0,MALE,N39A2
238,Gentoo,Biscoe,"Adult,1 Eggs",2007-11-27,4800.0,FEMALE,N40A1
239,Gentoo,Biscoe,"Adult,2 Eggs",2007-11-27,5350.0,MALE,N40A2
240,Gentoo,Biscoe,"Adult,2 Eggs",2007-11-27,5700.0,MALE,N41A1
241,Gentoo,Biscoe,"Adult,2 Eggs",2007-11-27,5000.0,FEMALE,N41A2
242,Gentoo,Biscoe,"Adult,2 Eggs",2007-11-27,4400.0,FEMALE,N42A1
243,Gentoo,Biscoe,"Adult,2 Eggs",2007-11-27,5050.0,MALE,N42A2
244,Gentoo,Biscoe,"Adult,2 Eggs",2007-11-29,5000.0,FEMALE,N44A1
245,Gentoo,Biscoe,"Adult,2 Eggs",2007-11-29,5100.0,MALE,N44A2
247,Gentoo,Biscoe,"Adult,2 Eggs",2007-11-29,5650.0,MALE,N46A2
248,Gentoo,Biscoe,"Adult,2 Eggs",2007-11-29,4600.0,FEMALE,N47A1
249,Gentoo,Biscoe,"Adult,2 Eggs",2007-11-29,5550.0,MALE,N47A2
250,Gentoo,Biscoe,"Adult,2 Eggs",2007-11-29,5250.0,MALE,N50A1
251,Gentoo,Biscoe,"Adult,2 Eggs",2007-11-29,4700.0,FEMALE,N50A2
252,Gentoo,Biscoe,"Adult,2 Eggs",2007-12-03,5050.0,FEMALE,N56A1
253,Gentoo,Biscoe,"Adult,2 Eggs",2007-12-03,6050.0,MALE,N56A2
